Game Title,Recent Reviews,All Reviews,Release Date,Developer,Publisher,Genre,Original Price
Hard West,"Mostly Positive,(31),- 70% of the 31 user reviews in the last 30 days are positive.","Mostly Positive,(2,270),- 77% of the 2,270 user reviews for this game are positive.",18-Nov-15,CreativeForge Games,"Good Shepherd Entertainment,Good Shepherd Entertainment","Adventure,Indie,RPG,Strategy",$19.99 
Valdis Story: Abyssal City,Unknown,"Very Positive,(1,910),- 84% of the 1,910 user reviews for this game are positive.",8-Sep-13,Endlessfluff Games,"Endlessfluff Games,Endlessfluff Games","Action,Indie,RPG",$14.99 
Rebuild 3: Gangs of Deadsville,Unknown,"Very Positive,(793),- 85% of the 793 user reviews for this game are positive.",29-May-15,"Northway Games,Sarah Northway","Northway Games,Northway Games","Indie,Simulation,Strategy",$14.99 
Pinball Arcade,"Mixed,(16),- 43% of the 16 user reviews in the last 30 days are positive.","Mostly Positive,(3,007),- 72% of the 3,007 user reviews for this game are positive.",4-Nov-13,FarSight Studios,"FarSight Studios,FarSight Studios","Free to Play,Simulation",Free
Organ Trail: Director's Cut,"Mostly Positive,(13),- 76% of the 13 user reviews in the last 30 days are positive.","Very Positive,(1,829),- 89% of the 1,829 user reviews for this game are positive.",19-Mar-13,The Men Who Wear Many Hats,"The Men Who Wear Many Hats,The Men Who Wear Many Hats","Indie,Strategy",$4.99 
STARWHAL,Unknown,"Very Positive,(457),- 91% of the 457 user reviews for this game are positive.",29-Sep-14,Breakfall,"Breakfall,Breakfall","Action,Casual,Indie,Sports",$11.99 
Strike Suit Zero,Unknown,"Very Positive,(1,130),- 80% of the 1,130 user reviews for this game are positive.",23-Jan-13,Born Ready Games Ltd.,"Born Ready Games,Born Ready Games","Action,Indie,Simulation",$19.99 
Magicite,"Mostly Positive,(21),- 71% of the 21 user reviews in the last 30 days are positive.","Very Positive,(4,888),- 85% of the 4,888 user reviews for this game are positive.",9-Jun-14,SmashGames,"SmashGames,SmashGames","Action,Adventure,Indie,RPG",$9.99 
Hive Jump,Unknown,"Mostly Positive,(156),- 71% of the 156 user reviews for this game are positive.",18-Jan-17,Graphite Lab,"Graphite Lab,Graphite Lab","Action,Indie",$19.99 
Castle Story,"Mixed,(98),- 55% of the 98 user reviews in the last 30 days are positive.","Mixed,(4,347),- 55% of the 4,347 user reviews for this game are positive.",17-Aug-17,Sauropod Studio,"Sauropod Studio,Sauropod Studio","Indie,Strategy",$24.99 
Dungeonmans,Unknown,"Very Positive,(458),- 90% of the 458 user reviews for this game are positive.",9-Dec-14,Adventurepro Games LLC,"Adventurepro Games LLC,Adventurepro Games LLC","Adventure,Indie,RPG,Strategy",$14.99 
Tesla Effect: A Tex Murphy Adventure,Unknown,"Very Positive,(455),- 91% of the 455 user reviews for this game are positive.",8-May-14,Big Finish Games,"SEGA,SEGA","Adventure,Indie",$19.99 
Crea,Unknown,"Mostly Positive,(742),- 77% of the 742 user reviews for this game are positive.",9-Jun-16,Siege Games,"Siege Games,Siege Games","Action,Adventure,Indie,RPG",$14.99 
Shantae: Half-Genie Hero,Unknown,"Very Positive,(1,531),- 91% of the 1,531 user reviews for this game are positive.",20-Dec-16,WayForward,"WayForward,WayForward","Action,Adventure,Indie",$19.99 
Influent,Unknown,"Mostly Positive,(704),- 73% of the 704 user reviews for this game are positive.",20-Mar-14,Rob Howland,"Three Flip Studios,Three Flip Studios","Indie,Simulation,Strategy",$9.99 
Conclave,Unknown,"Mostly Positive,(36),- 77% of the 36 user reviews for this game are positive.",20-Jan-17,10x10 Room,"10x10 Room,10x10 Room","Indie,RPG",$9.99 
Race The Sun,Unknown,"Very Positive,(1,446),- 94% of the 1,446 user reviews for this game are positive.",9-Dec-13,Flippfly LLC,"Flippfly LLC,Flippfly LLC","Action,Indie,Racing",$9.99 
FORCED: Slightly Better Edition,Unknown,"Mostly Positive,(1,647),- 75% of the 1,647 user reviews for this game are positive.",24-Oct-13,BetaDwarf,"BetaDwarf,BetaDwarf","Action,Adventure,Indie,RPG",$14.99 
Jotun: Valhalla Edition,"Mixed,(19),- 63% of the 19 user reviews in the last 30 days are positive.","Very Positive,(1,466),- 80% of the 1,466 user reviews for this game are positive.",29-Sep-15,Thunder Lotus Games,"Thunder Lotus Games,Thunder Lotus Games","Action,Adventure,Indie",$14.99 
River City Ransom: Underground,Unknown,"Mostly Positive,(1,486),- 75% of the 1,486 user reviews for this game are positive.",27-Feb-17,Conatus Creative Inc.,"Conatus Creative Inc.,Conatus Creative Inc.","Action,Indie,RPG",$19.99 
The Dwarves,Unknown,"Mostly Positive,(694),- 74% of the 694 user reviews for this game are positive.",1-Dec-16,KING Art,"THQ Nordic,EuroVideo Medien,THQ Nordic,EuroVideo Medien",RPG,$39.99 
Expeditions: Conquistador,Unknown,"Mostly Positive,(798),- 79% of the 798 user reviews for this game are positive.",30-May-13,Logic Artists,"THQ Nordic,THQ Nordic","Indie,RPG,Strategy",$19.99 
Knock-knock,"Very Positive,(56),- 82% of the 56 user reviews in the last 30 days are positive.","Very Positive,(852),- 89% of the 852 user reviews for this game are positive.",4-Oct-13,Ice-Pick Lodge,"Ice-Pick Lodge,Ice-Pick Lodge",Indie,$9.99 
Lords of Xulima,Unknown,"Very Positive,(752),- 81% of the 752 user reviews for this game are positive.",14-Nov-14,Numantian Games,"Numantian Games,Numantian Games",RPG,$19.99 
Volgarr the Viking,Unknown,"Very Positive,(1,354),- 84% of the 1,354 user reviews for this game are positive.",13-Sep-13,Crazy Viking Studios,"Adult Swim Games,Adult Swim Games","Action,Adventure,Indie",$9.99 
Resonance,Unknown,"Very Positive,(303),- 91% of the 303 user reviews for this game are positive.",25-Jul-12,XII Games,"Wadjet Eye Games,Wadjet Eye Games","Adventure,Indie",$9.99 
DubWars,Unknown,"Very Positive,(146),- 82% of the 146 user reviews for this game are positive.",19-Jul-16,MURA Interactive,"WOBBL3 Entertainment LLC,WOBBL3 Entertainment LLC","Action,Casual,Indie",$9.99 
Paper Sorcerer,Unknown,"Very Positive,(343),- 86% of the 343 user reviews for this game are positive.",21-Nov-13,Ultra Runaway Games,"Ultra Runaway Games,Ultra Runaway Games","Adventure,Indie,RPG",$4.99 
"That Dragon, Cancer",Unknown,"Very Positive,(957),- 89% of the 957 user reviews for this game are positive.",11-Jan-16,Numinous Games,"Numinous Games,Numinous Games","Adventure,Indie",$9.99 
AVARIAvs,Unknown,"Mixed,(13),- 61% of the 13 user reviews for this game are positive.",9-May-19,Juncture Media,"Juncture Media,Juncture Media","Indie,RPG,Strategy",$19.99 
MASSIVE CHALICE,"Mostly Positive,(10),- 70% of the 10 user reviews in the last 30 days are positive.","Mostly Positive,(1,002),- 71% of the 1,002 user reviews for this game are positive.",1-Jun-15,Double Fine Productions,"Double Fine Productions,Double Fine Productions","Indie,Strategy",$19.99 
ORION: Prelude,"Mostly Positive,(29),- 79% of the 29 user reviews in the last 30 days are positive.","Mostly Positive,(19,960),- 76% of the 19,960 user reviews for this game are positive.",16-Apr-13,Spiral Game Studios,"DANKIE,DANKIE","Action,Adventure,Indie,RPG",$0.99 
LEGRAND LEGACY: Tale of the Fatebounds,Unknown,"Mostly Positive,(124),- 72% of the 124 user reviews for this game are positive.",24-Jan-18,SEMISOFT,"Another Indie,Mayflower Entertainment [KR],Another Indie,Mayflower Entertainment [KR]","Action,Adventure,Indie,RPG",$19.99 
Ring Runner: Flight of the Sages,Unknown,"Very Positive,(507),- 85% of the 507 user reviews for this game are positive.",9-Jul-13,Triple.B.Titles,"Triple.B.Titles,Triple.B.Titles","Action,Indie,RPG",$4.99 
Slip,Unknown,"Very Positive,(55),- 83% of the 55 user reviews for this game are positive.",28-Apr-14,Handsome Games,"Handsome Games,Handsome Games","Action,Indie",$0.99 
The Red Solstice,Unknown,"Mostly Positive,(726),- 76% of the 726 user reviews for this game are positive.",9-Jul-15,Ironward,"Nkidu Games Inc.,Nkidu Games Inc.","Action,Indie,RPG,Strategy",$9.99 
Armikrog,Unknown,"Mixed,(738),- 55% of the 738 user reviews for this game are positive.",30-Sep-15,Pencil Test Studios,"Versus Evil,Versus Evil","Adventure,Indie",$9.99 
Heroes of Steel RPG,Unknown,"Mostly Positive,(153),- 78% of the 153 user reviews for this game are positive.",23-Apr-14,Trese Brothers,"Trese Brothers,Trese Brothers","Indie,RPG,Strategy",$9.99 
WARMACHINE: Tactics,Unknown,"Mixed,(1,021),- 44% of the 1,021 user reviews for this game are positive.",20-Nov-14,WhiteMoon Dreams,"Privateer Press Interactive,Privateer Press Interactive","Indie,Strategy",Play WARMACHINE: Tactics Demo
STASIS,Unknown,"Mostly Positive,(762),- 78% of the 762 user reviews for this game are positive.",31-Aug-15,THE BROTHERHOOD,"THE BROTHERHOOD,Daedalic Entertainment,THE BROTHERHOOD,Daedalic Entertainment",Adventure,$9.99 
Legend of Dungeon,Unknown,"Mostly Positive,(1,094),- 72% of the 1,094 user reviews for this game are positive.",13-Sep-13,Robot Loves Kitty,Unknown,"Action,Indie,RPG",$9.99 
CONSORTIUM,Unknown,"Mostly Positive,(553),- 75% of the 553 user reviews for this game are positive.",8-Jan-14,Interdimensional Games Inc,"Interdimensional Games Inc,Interdimensional Games Inc","Action,Adventure,Indie,RPG",$9.99 
H-Hour: World's Elite,Unknown,"Mixed,(457),- 63% of the 457 user reviews for this game are positive.",19-May-15,SOF Studios Ltd,"SOF Studios Ltd,SOF Studios Ltd","Action,Indie,Early Access",$12.99 
Paranormal,Unknown,"Mixed,(318),- 64% of the 318 user reviews for this game are positive.",19-Oct-12,Unknown,"Matthew C Cohen,Matthew C Cohen","Action,Adventure,Indie,Simulation,Early Access",$9.99 
Tiny Barbarian DX,Unknown,"Very Positive,(91),- 86% of the 91 user reviews for this game are positive.",3-Dec-13,StarQuail Games,"Nicalis, Inc,Nicalis, Inc","Action,Adventure",$29.99 
Labyrinthine Dreams,Unknown,"Very Positive,(157),- 82% of the 157 user reviews for this game are positive.",26-May-15,Solest Games,"Degica,Degica","Adventure,Casual,Indie",$1.99 
Last Dream,Unknown,"Very Positive,(356),- 85% of the 356 user reviews for this game are positive.",13-Mar-14,White Giant RPG Studios,"White Giant RPG Studios,White Giant RPG Studios","Indie,RPG",$9.99 
CreaVures,Unknown,"Very Positive,(90),- 83% of the 90 user reviews for this game are positive.",23-Feb-11,Muse Games,"Muse Games,Muse Games",Indie,$4.99 
Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,Unknown,"Very Positive,(257),- 80% of the 257 user reviews for this game are positive.",27-Jun-13,nFusion Interactive,"Replay Games,Replay Games","Action,Adventure,Casual",Unknown
Cognition: An Erica Reed Thriller,Unknown,"Very Positive,(260),- 82% of the 260 user reviews for this game are positive.",19-Sep-13,Phoenix Online Studios,"Phoenix Online Publishing,Phoenix Online Publishing","Adventure,Indie",$14.99 
Vigilantes,Unknown,"Very Positive,(127),- 85% of the 127 user reviews for this game are positive.",3-Oct-18,Timeslip Softworks,"Timeslip Softworks,Timeslip Softworks","Indie,RPG,Strategy",$14.99 
Our Darker Purpose,Unknown,"Very Positive,(498),- 81% of the 498 user reviews for this game are positive.",29-Jan-14,Avidly Wild Games,"Avidly Wild Games,Avidly Wild Games","Action,Indie,RPG",$14.99 
Whispering Willows,Unknown,"Very Positive,(548),- 80% of the 548 user reviews for this game are positive.",9-Jul-14,Night Light Interactive,"Akupara Games,Akupara Games","Adventure,Indie",$69.95 
Retro Game Crunch,Unknown,"Very Positive,(207),- 82% of the 207 user reviews for this game are positive.",19-May-14,"Rusty Moyher,Shaun Inman,Matt Grimm","Retro Game Crunch,Retro Game Crunch","Action,Adventure,Indie",$9.99 
Catlateral Damage,Unknown,"Very Positive,(700),- 88% of the 700 user reviews for this game are positive.",27-May-15,"Chris Chung,Fire Hose Games","Chris Chung,Chris Chung","Action,Casual,Indie,Simulation",$9.99 
Party of Sin,Unknown,"Mixed,(29),- 58% of the 29 user reviews for this game are positive.",13-Dec-12,Crankshaft Games,"Crankshaft Games,Crankshaft Games","Action,Adventure,Indie",$5.99 
The Rabbit and The Owl,Unknown,"Positive,(13),- 92% of the 13 user reviews for this game are positive.",3-Aug-18,"Formal Sheep, LLC","Formal Sheep, LLC,Formal Sheep, LLC",Indie,$9.99 
Die for Valhalla!,Unknown,"Positive,(46),- 80% of the 46 user reviews for this game are positive.",29-May-18,Monster Couch,"Monster Couch,Monster Couch","Action,Adventure,Indie,RPG",$11.99 
BOMBFEST,Unknown,"2 user reviews,- Need more user reviews to generate a score",31-Jan-19,Sudden Event Studios,"Whitethorn Digital,Whitethorn Digital","Action,Casual,Indie",$19.99 
